时间,类别,臺東縣
2000/1,population_density(人/平方公里),70.45
2000/2,population_density(人/平方公里),70.39
2000/3,population_density(人/平方公里),70.31
2000/4,population_density(人/平方公里),70.23
2000/5,population_density(人/平方公里),70.17
2000/6,population_density(人/平方公里),70.09
2000/7,population_density(人/平方公里),70.02
2000/8,population_density(人/平方公里),69.91
2000/9,population_density(人/平方公里),69.8
2000/10,population_density(人/平方公里),69.8
2000/11,population_density(人/平方公里),69.78
2000/12,population_density(人/平方公里),69.79
2001/1,population_density(人/平方公里),69.76
2001/2,population_density(人/平方公里),69.7
2001/3,population_density(人/平方公里),69.64
2001/4,population_density(人/平方公里),69.58
2001/5,population_density(人/平方公里),69.53
2001/6,population_density(人/平方公里),69.49
2001/7,population_density(人/平方公里),69.47
2001/8,population_density(人/平方公里),69.45
2001/9,population_density(人/平方公里),69.47
2001/10,population_density(人/平方公里),69.49
2001/11,population_density(人/平方公里),69.51
2001/12,population_density(人/平方公里),69.59
2002/1,population_density(人/平方公里),69.7
2002/2,population_density(人/平方公里),69.88
2002/3,population_density(人/平方公里),69.8
2002/4,population_density(人/平方公里),69.73
2002/5,population_density(人/平方公里),69.67
2002/6,population_density(人/平方公里),69.59
2002/7,population_density(人/平方公里),69.51
2002/8,population_density(人/平方公里),69.45
2002/9,population_density(人/平方公里),69.39
2002/10,population_density(人/平方公里),69.37
2002/11,population_density(人/平方公里),69.36
2002/12,population_density(人/平方公里),69.4
2003/1,population_density(人/平方公里),69.4
2003/2,population_density(人/平方公里),69.36
2003/3,population_density(人/平方公里),69.29
2003/4,population_density(人/平方公里),69.33
2003/5,population_density(人/平方公里),69.42
2003/6,population_density(人/平方公里),69.4
2003/7,population_density(人/平方公里),69.38
2003/8,population_density(人/平方公里),69.29
2003/9,population_density(人/平方公里),69.2
2003/10,population_density(人/平方公里),69.17
2003/11,population_density(人/平方公里),69.14
2003/12,population_density(人/平方公里),69.08
2004/1,population_density(人/平方公里),69.04
2004/2,population_density(人/平方公里),68.95
2004/3,population_density(人/平方公里),68.91
2004/4,population_density(人/平方公里),68.83
2004/5,population_density(人/平方公里),68.75
2004/6,population_density(人/平方公里),68.65
2004/7,population_density(人/平方公里),68.61
2004/8,population_density(人/平方公里),68.52
2004/9,population_density(人/平方公里),68.48
2004/10,population_density(人/平方公里),68.44
2004/11,population_density(人/平方公里),68.42
2004/12,population_density(人/平方公里),68.38
2005/1,population_density(人/平方公里),68.36
2005/2,population_density(人/平方公里),68.3
2005/3,population_density(人/平方公里),68.24
2005/4,population_density(人/平方公里),68.19
2005/5,population_density(人/平方公里),68.15
2005/6,population_density(人/平方公里),68.11
2005/7,population_density(人/平方公里),68.08
2005/8,population_density(人/平方公里),68.04
