时间,类别,臺東縣
2000年1月,人口數(人),247660.0
2000年2月,人口數(人),247456.0
2000年3月,人口數(人),247162.0
2000年4月,人口數(人),246881.0
2000年5月,人口數(人),246664.0
2000年6月,人口數(人),246386.0
2000年7月,人口數(人),246149.0
2000年8月,人口數(人),245764.0
2000年9月,人口數(人),245355.0
2000年10月,人口數(人),245360.0
2000年11月,人口數(人),245299.0
2000年12月,人口數(人),245312.0
2001年1月,人口數(人),245226.0
2001年2月,人口數(人),245002.0
2001年3月,人口數(人),244791.0
2001年4月,人口數(人),244583.0
2001年5月,人口數(人),244430.0
2001年6月,人口數(人),244275.0
2001年7月,人口數(人),244219.0
2001年8月,人口數(人),244148.0
2001年9月,人口數(人),244206.0
2001年10月,人口數(人),244269.0
2001年11月,人口數(人),244338.0
2001年12月,人口數(人),244612.0
2002年1月,人口數(人),245022.0
2002年2月,人口數(人),245630.0
2002年3月,人口數(人),245374.0
2002年4月,人口數(人),245133.0
2002年5月,人口數(人),244906.0
2002年6月,人口數(人),244631.0
2002年7月,人口數(人),244345.0
2002年8月,人口數(人),244138.0
2002年9月,人口數(人),243919.0
2002年10月,人口數(人),243855.0
2002年11月,人口數(人),243835.0
2002年12月,人口數(人),243965.0
2003年1月,人口數(人),243947.0
2003年2月,人口數(人),243834.0
2003年3月,人口數(人),243581.0
2003年4月,人口數(人),243718.0
2003年5月,人口數(人),244031.0
2003年6月,人口數(人),243967.0
2003年7月,人口數(人),243886.0
2003年8月,人口數(人),243563.0
2003年9月,人口數(人),243257.0
2003年10月,人口數(人),243163.0
2003年11月,人口數(人),243061.0
2003年12月,人口數(人),242842.0
2004年1月,人口數(人),242685.0
2004年2月,人口數(人),242393.0
2004年3月,人口數(人),242225.0
2004年4月,人口數(人),241955.0
2004年5月,人口數(人),241676.0
2004年6月,人口數(人),241332.0
2004年7月,人口數(人),241192.0
2004年8月,人口數(人),240869.0
2004年9月,人口數(人),240739.0
2004年10月,人口數(人),240596.0
2004年11月,人口數(人),240529.0
2004年12月,人口數(人),240373.0
2005年1月,人口數(人),240291.0
2005年2月,人口數(人),240082.0
2005年3月,人口數(人),239870.0
2005年4月,人口數(人),239706.0
2005年5月,人口數(人),239574.0
2005年6月,人口數(人),239432.0
2005年7月,人口數(人),239322.0
2005年8月,人口數(人),239184.0
2005年9月,人口數(人),238979.0
2005年10月,人口數(人),238974.0
2005年11月,人口數(人),238858.0
2005年12月,人口數(人),238943.0
2006年1月,人口數(人),238945.0
2006年2月,人口數(人),238922.0
2006年3月,人口數(人),238685.0
2006年4月,人口數(人),238517.0
2006年5月,人口數(人),238252.0
2006年6月,人口數(人),237797.0
2006年7月,人口數(人),237522.0
2006年8月,人口數(人),237123.0
2006年9月,人口數(人),236803.0
2006年10月,人口數(人),236615.0
2006年11月,人口數(人),236399.0
2006年12月,人口數(人),235957.0
2007年1月,人口數(人),235549.0
2007年2月,人口數(人),235405.0
2007年3月,人口數(人),235226.0
2007年4月,人口數(人),235137.0
2007年5月,人口數(人),234939.0
2007年6月,人口數(人),234672.0
2007年7月,人口數(人),234455.0
2007年8月,人口數(人),234124.0
2007年9月,人口數(人),233954.0
2007年10月,人口數(人),233841.0
2007年11月,人口數(人),233725.0
2007年12月,人口數(人),233660.0
