时间,类别,臺東縣
2000年1月,土地面積(平方公里),3515.2526
2000年2月,土地面積(平方公里),3515.2526
2000年3月,土地面積(平方公里),3515.2526
2000年4月,土地面積(平方公里),3515.2526
2000年5月,土地面積(平方公里),3515.2526
2000年6月,土地面積(平方公里),3515.2526
2000年7月,土地面積(平方公里),3515.2526
2000年8月,土地面積(平方公里),3515.2526
2000年9月,土地面積(平方公里),3515.2526
2000年10月,土地面積(平方公里),3515.2526
2000年11月,土地面積(平方公里),3515.2526
2000年12月,土地面積(平方公里),3515.2526
2001年1月,土地面積(平方公里),3515.2526
2001年2月,土地面積(平方公里),3515.2526
2001年3月,土地面積(平方公里),3515.2526
2001年4月,土地面積(平方公里),3515.2526
2001年5月,土地面積(平方公里),3515.2526
2001年6月,土地面積(平方公里),3515.2526
2001年7月,土地面積(平方公里),3515.2526
2001年8月,土地面積(平方公里),3515.2526
2001年9月,土地面積(平方公里),3515.2526
2001年10月,土地面積(平方公里),3515.2526
2001年11月,土地面積(平方公里),3515.2526
2001年12月,土地面積(平方公里),3515.2526
2002年1月,土地面積(平方公里),3515.2526
2002年2月,土地面積(平方公里),3515.2526
2002年3月,土地面積(平方公里),3515.2526
2002年4月,土地面積(平方公里),3515.2526
2002年5月,土地面積(平方公里),3515.2526
2002年6月,土地面積(平方公里),3515.2526
2002年7月,土地面積(平方公里),3515.2526
2002年8月,土地面積(平方公里),3515.2526
2002年9月,土地面積(平方公里),3515.2526
2002年10月,土地面積(平方公里),3515.2526
2002年11月,土地面積(平方公里),3515.2526
2002年12月,土地面積(平方公里),3515.2526
2003年1月,土地面積(平方公里),3515.2526
2003年2月,土地面積(平方公里),3515.2526
2003年3月,土地面積(平方公里),3515.2526
2003年4月,土地面積(平方公里),3515.2526
2003年5月,土地面積(平方公里),3515.2526
2003年6月,土地面積(平方公里),3515.2526
2003年7月,土地面積(平方公里),3515.2526
2003年8月,土地面積(平方公里),3515.2526
2003年9月,土地面積(平方公里),3515.2526
2003年10月,土地面積(平方公里),3515.2526
2003年11月,土地面積(平方公里),3515.2526
2003年12月,土地面積(平方公里),3515.2526
2004年1月,土地面積(平方公里),3515.2526
2004年2月,土地面積(平方公里),3515.2526
2004年3月,土地面積(平方公里),3515.2526
2004年4月,土地面積(平方公里),3515.2526
2004年5月,土地面積(平方公里),3515.2526
