时间,类别,臺東縣
2000/1,household,72171
2000/2,household,72209
2000/3,household,72254
2000/4,household,72272
2000/5,household,72345
2000/6,household,72483
2000/7,household,72590
2000/8,household,72665
2000/9,household,72731
2000/1,household,72877
2000/11,household,72949
2000/12,household,72974
2001/1,household,72980
2001/2,household,73038
2001/3,household,73122
2001/4,household,73126
2001/5,household,73193
2001/6,household,73323
2001/7,household,73382
2001/8,household,73478
2001/9,household,73494
2001/1,household,73637
2001/11,household,73682
2001/12,household,73766
2002/1,household,73760
2002/2,household,73584
2002/3,household,73632
2002/4,household,73638
2002/5,household,73719
2002/6,household,73831
2002/7,household,73985
2002/8,household,74069
2002/9,household,74060
2002/1,household,74146
2002/11,household,74219
2002/12,household,74353
2003/1,household,74451
2003/2,household,74555
2003/3,household,74668
2003/4,household,74772
2003/5,household,74902
2003/6,household,75014
2003/7,household,75103
2003/8,household,75126
2003/9,household,75222
2003/1,household,75303
2003/11,household,75383
2003/12,household,75400
2004/1,household,75404
2004/2,household,75484
2004/3,household,75559
2004/4,household,75680
2004/5,household,75803
2004/6,household,75933
2004/7,household,76082
2004/8,household,76199
2004/9,household,76290
2004/1,household,76371
2004/11,household,76432
2004/12,household,76486
2005/1,household,76531
2005/2,household,76566
2005/3,household,76641
2005/4,household,76659
2005/5,household,76712
2005/6,household,76796
2005/7,household,76827
2005/8,household,76903
2005/9,household,77003
2005/1,household,77062
2005/11,household,77102
2005/12,household,77116
2006/1,household,77121
2006/2,household,77140
2006/3,household,77197
2006/4,household,77202
2006/5,household,77190
2006/6,household,77246
2006/7,household,77277
2006/8,household,77348
2006/9,household,77461
2006/1,household,77534
2006/11,household,77558
2006/12,household,77440
2007/1,household,77356
2007/2,household,77349
2007/3,household,77396
2007/4,household,77440
2007/5,household,77502
2007/6,household,77595
2007/7,household,77641
2007/8,household,77695
2007/9,household,77750
2007/1,household,77820
2007/11,household,77870
2007/12,household,77892
2008/1,household,77880
2008/2,household,77875
2008/3,household,77932
2008/4,household,78005
2008/5,household,78093
2008/6,household,78195
2008/7,household,78287
2008/8,household,78438
2008/9,household,78594
2008/1,household,78661
2008/11,household,78781
2008/12,household,78693
2009/1,household,78693
2009/2,household,78741
2009/3,household,78899
2009/4,household,79015
2009/5,household,79092
2009/6,household,79198
2009/7,household,79337
2009/8,household,79440
2009/9,household,79554
2009/1,household,79662
2009/11,household,79693
2009/12,household,79756
2010/1,household,79794
2010/2,household,79825
2010/3,household,79922
2010/4,household,79968
2010/5,household,79990
2010/6,household,79990
2010/7,household,80039
2010/8,household,80116
2010/9,household,80187
2010/1,household,80273
2010/11,household,80338
2010/12,household,80411
2011/1,household,80431
2011/2,household,80435
2011/3,household,80529
2011/4,household,80559
2011/5,household,80625
2011/6,household,80663
2011/7,household,80684
2011/8,household,80697
2011/9,household,80772
2011/1,household,80825
2011/11,household,80820
2011/12,household,80840
2012/1,household,80823
2012/2,household,80845
