时间,类别,臺東縣
2000年1月,戶量(人/戶),3.43
2000年2月,戶量(人/戶),3.43
2000年3月,戶量(人/戶),3.42
2000年4月,戶量(人/戶),3.42
2000年5月,戶量(人/戶),3.41
2000年6月,戶量(人/戶),3.4
2000年7月,戶量(人/戶),3.39
2000年8月,戶量(人/戶),3.38
2000年9月,戶量(人/戶),3.37
2000年10月,戶量(人/戶),3.37
2000年11月,戶量(人/戶),3.36
2000年12月,戶量(人/戶),3.36
2001年1月,戶量(人/戶),3.36
2001年2月,戶量(人/戶),3.35
2001年3月,戶量(人/戶),3.35
2001年4月,戶量(人/戶),3.34
2001年5月,戶量(人/戶),3.34
2001年6月,戶量(人/戶),3.33
2001年7月,戶量(人/戶),3.33
2001年8月,戶量(人/戶),3.32
2001年9月,戶量(人/戶),3.32
2001年10月,戶量(人/戶),3.32
2001年11月,戶量(人/戶),3.32
2001年12月,戶量(人/戶),3.32
2002年1月,戶量(人/戶),3.32
2002年2月,戶量(人/戶),3.34
2002年3月,戶量(人/戶),3.33
2002年4月,戶量(人/戶),3.33
2002年5月,戶量(人/戶),3.32
2002年6月,戶量(人/戶),3.31
2002年7月,戶量(人/戶),3.3
2002年8月,戶量(人/戶),3.3
2002年9月,戶量(人/戶),3.29
2002年10月,戶量(人/戶),3.29
2002年11月,戶量(人/戶),3.29
2002年12月,戶量(人/戶),3.28
2003年1月,戶量(人/戶),3.28
2003年2月,戶量(人/戶),3.27
2003年3月,戶量(人/戶),3.26
2003年4月,戶量(人/戶),3.26
2003年5月,戶量(人/戶),3.26
2003年6月,戶量(人/戶),3.25
2003年7月,戶量(人/戶),3.25
2003年8月,戶量(人/戶),3.24
2003年9月,戶量(人/戶),3.23
2003年10月,戶量(人/戶),3.23
2003年11月,戶量(人/戶),3.22
2003年12月,戶量(人/戶),3.22
2004年1月,戶量(人/戶),3.22
2004年2月,戶量(人/戶),3.21
2004年3月,戶量(人/戶),3.21
2004年4月,戶量(人/戶),3.2
2004年5月,戶量(人/戶),3.19
2004年6月,戶量(人/戶),3.18
2004年7月,戶量(人/戶),3.17
2004年8月,戶量(人/戶),3.16
2004年9月,戶量(人/戶),3.16
2004年10月,戶量(人/戶),3.15
2004年11月,戶量(人/戶),3.15
2004年12月,戶量(人/戶),3.14
2005年1月,戶量(人/戶),3.14
2005年2月,戶量(人/戶),3.14
2005年3月,戶量(人/戶),3.13
2005年4月,戶量(人/戶),3.13
2005年5月,戶量(人/戶),3.12
2005年6月,戶量(人/戶),3.12
2005年7月,戶量(人/戶),3.12
2005年8月,戶量(人/戶),3.11
2005年9月,戶量(人/戶),3.1
2005年10月,戶量(人/戶),3.1
2005年11月,戶量(人/戶),3.1
2005年12月,戶量(人/戶),3.1
2006年1月,戶量(人/戶),3.1
2006年2月,戶量(人/戶),3.1
2006年3月,戶量(人/戶),3.09
2006年4月,戶量(人/戶),3.09
2006年5月,戶量(人/戶),3.09
2006年6月,戶量(人/戶),3.08
2006年7月,戶量(人/戶),3.07
2006年8月,戶量(人/戶),3.07
2006年9月,戶量(人/戶),3.06
